ID,Text,Translation,Old Text,Old Translation,Status,Gender,Critical Warnings,Non-critical Warnings,Platform Warnings,Location,Context,Section,Actor,Voice Actor,Revision,Old Revision,Edit Distance
1000590,Game Progress,遊戲進度,,,OK,,,,,Trunk\CommonLua/AccountStorage.lua(00101),,,,,222240,,
1000831,Action '<EndAction>' & Moment '<EndMoment>',動作‘<EndAction>’時刻‘<EndMoment>’,,,OK,,,,,Trunk\CommonLua/Classes/ActionFX.lua(00696),,,,,236855,,
1000832,"<Color><name> <idx><opt(u(entity), ' - <color 32 192 32>')> <AnnotatedAutoattachMsg>","<Color><name> <idx><opt(u(entity), ' - <color 32 192 32>')> <AnnotatedAutoattachMsg>",,,OK,,,,,Trunk\CommonLua/Classes/AutoAttach.lua(00436),,,,,238196,,
1000781,"<class><opt(u(RequiredClassesFormatted),' ','')>","<class><opt(u(RequiredClassesFormatted),' ','')>","<class><opt(u(Comment),' ','')>","<class><opt(u(Comment),' ','')>",OK,,,,,Trunk\CommonLua/Classes/ClassDefFunctionObjects.lua(00010),,,,,234333,,
1000105,"<id> <color 0 128 0><ValueText><color 128 128 128><opt(u(save_in), ' - ', '')>","<id> <color 0 128 0><ValueText><color 128 128 128><opt(u(save_in), ' - ', '')>",<id> <color 0 128 0><ValueText>,<id> <color 0 128 0><ValueText>,OK,,,,,Trunk\CommonLua/Classes/ClassDefs/ConstDef.lua(00013),,,,,233030,,
12322,<textcolor><text></color>,<textcolor><text></color>,,,OK,,,,,Trunk\CommonLua/Classes/ContinuousEffect.lua(00250),,,,,242559,,
1000001,Enter Mod Title,輸入模組標題,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00077),,,,,221758,,
1000002,No name provided,未輸入名稱,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00081),,,,,221758,,
1000591,Error,錯誤,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00081),,,,,222240,,
1000003,Copying <ModLabel> to <u(path)>,正在將<ModLabel>複製至<u(path)>,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00110),,,,,221758,,
1000004,Confirm Copy,確認複製,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00111),,,,,221758,,
1000005,Mod '<u(title)>' files will be copied to <u(path)>,模組“<u(title)>”的檔案將會複製至<u(path)>,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00111),,,,,221758,,
1000747,Error creating folder <u(folder)>: <u(err)>,資料夾<u(folder)>：<u(err)>創建出錯,,資料夾<u(folder)>：<u(err)>建立失敗,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00133),,,,,232789,,
1000748,Error copying <u(file)>: <u(err)>,<u(file)>：<u(err)>複製出錯,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00144),,,,,232789,,
1000749,Error looking up files of <ModLabel>: <u(err)>,檔案<ModLabel>：<u(err)>查詢出錯,,檔案<ModLabel>：<u(err)>查詢失敗,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00148),,,,,232789,,
1000750,Error looking up folders of <ModLabel>: <u(err)>,資料夾<ModLabel>：<u(err)>查詢出錯,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00151),,,,,232789,,
1000745,Error copying <ModLabel>: <err>,<ModLabel>：<err>複製出錯,,,OK,,,,,Trunk\CommonLua/Classes/GedModEditor.lua(00164),,,,,232789,,
